"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	16	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	0	8	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	0	18	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	0	5	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	0	13	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	0	9	Unreliable
	"Warren County, PA"	"42123"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	0	6	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	121	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	0	194	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	147	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	0	173	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	96	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	0	153	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	0	90	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	100	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	100	Suppressed
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	87	Suppressed
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	0	82	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	74	Suppressed
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	0	51	Unreliable
	"Washington County, PA"	"42125"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	0	61	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	74	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	186	Suppressed
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	72	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	0	162	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	62	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	0	145	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	0	47	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	89	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	0	42	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	0	69	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	0	54	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	0	59	Unreliable
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	46	Suppressed
	"Wayne County, PA"	"42127"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	0	50	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	148	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	0	185	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	136	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	0	193	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	120	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	Suppressed	145	Suppressed
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	0	112	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	110	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	0	82	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	0	100	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	107	Suppressed
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	0	88	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	0	80	Unreliable
	"Westmoreland County, PA"	"42129"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	Suppressed	65	Suppressed
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	8	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	0	12	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	10	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	0	24	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	17	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	0	14	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	12	Suppressed
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	20	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	17	Suppressed
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	Suppressed	Suppressed
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	0	7	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	0	8	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	0	6	Unreliable
	"Wyoming County, PA"	"42131"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	0	15	Unreliable
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	1238	Unreliable
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	1492	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	Suppressed	1344	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	1350	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	Suppressed	1182	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	Suppressed	1315	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	962	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	Suppressed	1001	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	795	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	750	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	534	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	557	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	467	Suppressed
	"York County, PA"	"42133"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	Suppressed	381	Suppressed
"---"
"Dataset: Underlying Cause of Death, 2018-2022, Single Race"
"Query Parameters:"
"Five-Year Age Groups: 30-34 years; 35-39 years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years"
"Gender: Female; Male"
"Hispanic Origin: Hispanic or Latino"
"States: Pennsylvania (42)"
"Year/Month: 2018"
"Group By: County; Hispanic Origin; Year; Five-Year Age Groups; Gender"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Jul 19, 2024 3:24:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2022 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2022, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jul 19, 2024 3:24:25 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"6. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
